function,module,signature,description
nb.CountDOWλ,Dates,"CountDOWλ(Starts, Ends, DayOfWeek)",Count instances of a specific day of the week between two dates.
nb.CountRowsUλ,Utilities,CountRowsUλ( Array),Count numbers in each row
nb.CountRowsλ,Essentials,CountRowsλ( Array),Count numbers in each row
nb.Cumulativeλ,Financial,"Cumulativeλ( Totals, [OpeningBalance])",Creates a row or column of cumulative totals from a total row or column
nb.CurrentRatioλ,Ratios,"CurrentRatioλ( Assets, Liabilities)",Measures a company’s ability to pay short-term obligations (Current Assets/Liabilities)
nb.DBλ,Financial,"DBλ(Cost, Salvage, Life, [Months])",Fixed declining balance depreciation method for one asset or asset class.
nb.DDBλ,Financial,"DDBλ(Cost, Salvage, Life, [Factor])",Double-declining balance depreciation method for one asset or asset class.
nb.DPRλ,Ratios,"DPRλ( DividendsPaid, NetIncome )",Dividend Payout Ratio is the percentage of earnings paid to shareholders via dividends_x000a_    (DividendsPaid/NetIncome)
nb.DSCRλ,Ratios,"DSCRλ( NetOperatingIncome, TotalDebtService)",Debt service coverage Ratio measures a firm’s available cash flow to pay its _x000a_current debt obligations(Net Operating Income/Total Debt Service)
nb.DSIλ,Ratios,"DSIλ( AverageInventory, CostOfGoodsSold)",Days Sales in Inventory Ratio (aka Average age of inventory _x000a_indicates the average time in days that a company takes to turn its inventory _x000a_(Average Inventory/ Cost of Goods Sold)
nb.DebtRatioλ,Ratios,"DebtRatioλ( TotalDebt, TotalAssets)",Measures the extent of a company’s leverage
nb.DebtSculptFixedλ,Debt,DebtSculptFixedλ,Creates a Debt Sculpting schedule where APR and DSCR is fixed for all periods
nb.DebtSculptVariableLRVλ,Debt,DebtSculptVariableLRVλ,Creates a Debt Sculpting schedule where APR and DSCR is set for each period
nb.DebtSculptVariableλ,Debt,DebtSculptVariableλ,Creates a Debt Sculpting schedule where APR and DSCR is set for each period
nb.DebtToAssetRatioλ,Ratios,"DebtToAssetRatioλ( TotalDebt, TotalAssets)",Analysts can compare one company's leverage with that of other _x000a_companies in the same industry. (Total Debt/Total Assets)
nb.DebtToCapitalRatioλ,Ratios,"DebtToCapitalRatioλ( Debt, ShareholdersEquity)",Gives analysts and investors a better idea of a company's financial structure_x000a_and whether or not the company is a suitable investment (Debt/(Debt + Shareholders' equity)
nb.DebtToEquityRatioλ,Ratios,"DebtToEquityRatioλ( TotalLiabilities, ShareholdersEquity)",Measures the degree to which a company is financing operations_x000a_with debt rather than its own resources. (Total Liabilities/Shareholders' Equity)
nb.Depreciateλ,Financial,"Depreciateλ(InitialValues, InServiceDates, LifeInYears, Timeline,","Create a block of CAPEX, Opening Balance, Depreciation Values, and Book Value for each asset"
nb.DepreciateλDV,Financial,DepreciateλDV,Provides extended data validation of arguments for Depreciateλ
nb.DiminishingValueλ,Financial,"DiminishingValueλ(Cost, Life)","Diminishing value depreciation (ATO 200% method), writing the residual off in the final period."
nb.DividendYieldRatioλ,Ratios,"DividendYieldRatioλ( AnnualDividendsPerShare, SharePrice)",Dividend yield ratio shows how much a company pays out in dividends _x000a_each year relative to its stock price (Annual Dividends Pe rShare/Share Price)
nb.EBITDAMarginλ,Ratios,"EBITDAMarginλ( EBITDA, TotalRevenue)",Measures a company's operating profit as a percentage of its revenue (EBITDA/Total Revenue).
nb.EPSλ,Ratios,"EPSλ( NetIncome, PreferredDividends, EndOfPeriodCommonSharesOutstanding)",Earnings per share measures profitability indicating how much profit each _x000a_outstanding share of common stock has earned _x000a_    (Net Income - Preferred Dividends)/End Of Period Common Shares Outstanding)
nb.EquityMultiplierλ,Ratios,"EquityMultiplierλ( TotalAssets, TotalShareholdersEquity)",Measures the portion of a company’s assets financed by shareholders'_x000a_equity rather than by debt (TotalAssets/TotalShareholdersEquity)
nb.EquityRatioλ,Ratios,"EquityRatioλ( ShareholdersEquity, TotalAssets, IntangibleAssets)",Measures the long-term solvency of a company by comparing its shareholders’ equity to its _x000a_total assets (Shareholder's Equity/(Total Assets - Intangible Assets)).
nb.FilterContainsλ,Financial,"FilterContainsλ( ArrayToFilter, FilterByArray, FilterByText, [IgnoreCase?] )",Filter an array by another array that contains specific text
nb.FinancialYearλ,Dates,"FinancialYearλ(Dates, [StartMonth])","Labels dates with their Australian financial year, which starts on 1 July."
nb.GSTAddλ,Financial,"GSTAddλ(Amounts, [Rate])",Adds GST to one or more GST-exclusive amounts.
nb.GSTExtractλ,Financial,"GSTExtractλ(Amounts, [Rate])",Returns the GST contained in one or more GST-inclusive amounts.
nb.GrossMarginλ,Ratios,"GrossMarginλ( GrossProfit, NetSales)",Shows how much profit a company makes after paying off its Cost of Goods Sold
nb.IRRλ,Financial,"IRRλ( Values, Dates)","Calculates IRR, correcting for when the first investment is not in the first period"
nb.IntOnIntλ,Financial,"IntOnIntλ( Principal, Rate)",Calculate Interest on Interest. Use to determine amount needed to cover debt plus interest on debt
nb.InterestCoverageRatioλ,Ratios,"InterestCoverageRatioλ( OperatingIncome, InterestExpenses)",Determines how easily a company can pay interest on its outstanding debt_x000a_(Operating Income/Interest Expenses)
nb.InterestLRVλ,Debt,InterestLRVλ,Calculates debt sculpting interest using method presented by Lance Rubin
nb.InventoryTurnoverRatioλ,Ratios,"InventoryTurnoverRatioλ( CostOfGoodsSold, AverageInventory)",Shows how many times a company turned over its inventory relative _x000a_    to its cost of goods sold (COGS) (COGS/Average Inventory)
nb.IsBetweenEλ,Essentials,"IsBetweenEλ( Value, Low, Hi, [Inclusive])",Determine if a value is between a lower and upper limit
nb.IsBetweenUλ,Utilities,"IsBetweenUλ( Value, Low, Hi, [Inclusive])",Determine if a value is between a lower and upper limit
nb.IsBetweenλ,Dates,"IsBetweenλ(Values, Low, High, [Inclusive])",Determine if a value is between a lower and upper limit
nb.IsInListUλ,Utilities,"IsInListUλ( Value, List)",Determine if a value is between a lower and upper limit
nb.IsInListλ,Essentials,"IsInListλ( Value, List)",Determine if a value is between a lower and upper limit
nb.IsOccurrenceDateλ,Dates,"IsOccurrenceDateλ(Dates, FirstOccurrence, [LastOccurrence], [Repeats])","Returns TRUE if Date passed is when something happens. This was developed for budgeting where we have expenses that start, and sometimes repeat at regular intervals."
nb.LabelAmortiseλ,Financial,"LabelAmortiseλ(LoanNames, [LoanAmounts], [LoanAPRs], [LoanTerms])",Create labels for Amortiseλ
